MHTCET Score,12th Score,Category,Branch,College Name,Location,College_Status
99.91,99.0,Open,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
97.69,98.31,EWS,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.21,97.45,SC,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
96.47,95.67,ST,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.56,93.56,VJ,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.83,94.41,NT1,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.82,95.76,NT2,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.88,95.1,NT3,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.86,90.23,OBC,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.85,92.42,PWD,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.95,97.18,TFWS,Computer Science and Engineering,COEP Pune,Pune,Government Autonomus
99.45,93.43,Open,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
95.9,93.92,EWS,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
97.5,96.78,SC,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
91.64,89.0,ST,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
98.65,92.45,VJ,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
98.76,94.45,NT1,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
98.33,96.66,NT2,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
98.12,91.23,NT3,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
99.34,95.55,OBC,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
97.0,91.34,PWD,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
99.62,94.46,TFWS,Computer Science and Engineering,"Walchand College of Engineering,Sangali",Sangali,Government Autonomus
92.86,87.77,Open,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
92.15,82.33,EWS,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
88.51,78.9,SC,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
76.71,70.32,ST,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
92.34,85.9,VJ,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
91.37,87.42,NT1,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
90.99,82.67,NT2,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
90.69,79.8,NT3,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
91.88,72.22,OBC,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
63.69,67.0,PWD,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
94.22,90.23,TFWS,Computer Science and Engineering,"Government College of Engineering,Jalgaon",Jalgaon,Government Autonomus
99.94,94.06,Open,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
98.83,92.22,EWS,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
99.41,90.45,SC,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
97.46,95.65,ST,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
96.83,89.0,VJ,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
99.72,91.12,NT1,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
99.74,90.56,NT2,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
99.75,95.55,NT3,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
99.8,98.88,OBC,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
98.67,93.33,PWD,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
99.88,91.42,TFWS,Computer Science and Engineering,"VJTI,Mumbai",Mumbai,Government Autonomus
97.72,91.12,Open,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
97.78,93.33,EWS,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
95.1,86.77,SC,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
84.74,80.9,ST,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
94.39,83.24,VJ,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
95.27,94.44,NT1,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
97.27,93.31,NT2,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
93.82,87.45,NT3,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
97.38,95.66,OBC,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
85.15,78.88,PWD,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
98.39,92.22,TFWS,Computer Science and Engineering,Aurangabad Government College of engineering,"Sambhajinagar,Aurangabad",Government Autonomus
96.14,92.28,Open,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
95.18,90.85,EWS,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
91.48,85.43,SC,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
70.28,71.34,ST,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
94.72,90.23,VJ,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
95.35,91.75,NT1,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
95.5,78.9,NT2,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
95.39,80.9,NT3,Computer Science and Engineering,"Shri Guru Gobind Singhji Institute of Engineering and Technology, Nanded",Nanded,Government Autonomus
